// voxatron raw data 
0
16 16 64

0 0 0
13 7 19
47 39 65
92 108 133
155 169 189
201 210 233
237 231 255
255 0 119
255 0 54
255 113 0
255 210 66
94 229 45
20 255 136
54 136 255
173 20 249
238 0 168
25 14 41
82 0 99
114 87 66
169 124 127
186 143 153
205 170 155
130 45 27
175 87 66
185 0 39
195 75 41
214 161 66
63 183 0
36 179 128
49 68 173
131 18 212
187 37 162
117 13 81
160 13 100
0 124 49
183 240 137
225 200 180
252 223 195
124 0 40
255 78 108
255 126 126
255 170 87
255 232 136
155 255 91
204 255 210
154 208 255
208 135 255
255 140 223
214 130 119
255 193 179
30 23 42
69 73 99
0 140 180
255 191 199
77 65 53
60 119 183
70 130 190
81 141 198
92 153 206
103 164 214
114 175 222
125 187 230
137 199 238
194 174 93
145 165 214
180 226 255
225 255 255
169 244 211
255 169 182
255 211 175
245 229 216
0 0 0
143 12 32
162 12 29
181 12 26
201 12 23
210 51 16
216 102 7
235 139 0
255 184 0
251 174 138
24 34 100
196 107 68
114 22 128
233 0 86
255 165 165
106 165 215
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
255 197 255
224 146 203
193 95 164
103 44 113
255 15 102
255 92 142
89 36 23
152 66 46
37 15 9
195 0 30
0 0 0
255 36 65
195 0 38
129 92 77
154 111 93
180 130 110
207 150 127
255 193 66
255 123 24
255 0 121
23 19 32
96 87 85
218 210 200
0 0 0
8 8 9
17 16 19
26 24 29
35 32 39
43 40 49
52 48 59
61 56 69
70 65 79
0 0 0
104 172 255
34 154 51
0 81 36
255 0 255
0 0 0
0 0 0
0 0 0
62 36 23
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
250 248 255
42 33 74
124 157 195
187 202 225
255 232 93
255 161 78
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
15 0 28
15 0 28
15 0 28
15 0 28
0 0 0
250 245 254
44 33 74
124 159 195
187 203 225
255 230 93
255 161 81
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
250 246 255
44 35 74
124 157 197
187 202 226
255 232 94
255 163 78
0 0 0
95 255 63
100 254 67
105 254 72
111 253 77
116 253 81
122 252 86
127 252 91
133 252 96
63 121 186
73 131 193
84 143 200
95 154 208
107 165 215
117 176 222
128 187 230
140 199 238
0 0 3
0 0 0
0 0 0
0 0 0
61 61 87
76 84 110
116 116 116
134 134 135

0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
